preamble,stimulus,is_correct,subject,stimulus_prob
"The docility hypothesis is that (A) Those with low capabilities are more vulnerable to environmental demands (B) Those who experience high environmental demands become more docile (C) Those who experience high environmental demands become less docile and (D) Those with less capability are less vulnerable to environmental demands. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-2.1953125, -2.421875, -2.5234375, -2.8671875, -1.984375, -2.90625, -2.640625, -2.7578125, -4.609375, -2.2890625, -2.2421875, -2.984375, -2.8359375, -1.9765625, -2.0546875, -2.9609375, -2.1640625, -3.140625, -2.8984375, -2.2734375, -1.8203125, -2.8984375, -3.28125, -2.609375, -1.3828125, -3.2734375, -2.34375, -2.1484375, -3.3828125, -3.140625, -2.7265625, -2.7890625, -2.765625, -3.515625, -2.53125, -2.03125, -3.0546875, -2.1328125, -2.7265625, -2.703125, -2.5625, -1.125, -1.0390625, -2.7109375, -2.140625, -3.6328125, -2.7421875, -1.78125, -3.328125, -2.5]"
"The docility hypothesis is that (A) Those with low capabilities are more vulnerable to environmental demands (B) Those who experience high environmental demands become more docile (C) Those who experience high environmental demands become less docile and (D) Those with less capability are less vulnerable to environmental demands. Of the answer choices above, answer (D) is the",best,0,human_aging,"[-3.203125, -3.515625, -1.90625, -5.046875, -2.109375, -2.4765625, -4.3359375, -1.8515625, -2.6171875, -1.796875, -1.8359375, -2.078125, -3.2265625, -2.28125, -2.53125, -2.71875, -1.7109375, -3.6171875, -1.96875, -2.9453125, -1.6015625, -1.734375, -3.0859375, -2.140625, -2.5625, -1.3125, -2.0, -2.1796875, -1.9296875, -3.3671875, -1.5625, -2.8203125, -3.2109375, -2.3515625, -2.2578125, -3.40625, -2.2890625, -2.796875, -2.46875, -2.359375, -2.265625, -2.7734375, -3.984375, -1.8359375, -1.140625, -2.5, -1.65625, -1.8203125, -2.03125, -2.65625]"
"Normal memory seems to be improved by (A) Aerobic exercise (B) Taking acetylcholine (C) Taking gingko and (D) Increasing social contacts. Of the answer choices above, answer (A) is the",best,1,human_aging,"[-1.5, -2.5546875, -0.7890625, -1.765625, -1.359375, -1.953125, -1.65625, -0.875, -1.5390625, -1.890625, -1.2421875, -1.4765625, -0.7265625, -1.0, -2.0859375, -1.46875, -2.015625, -0.96875, -0.921875, -1.78125, -1.0234375, -1.0, -1.8671875, -1.3203125, -1.0390625, -2.0625, -1.796875, -1.140625, -2.09375, -1.90625, -1.640625, -0.3125, -0.890625, -1.2421875, -1.203125, -0.921875, -0.890625, -2.4140625, -2.3359375, -1.0, -1.4375, -1.1875, -1.8671875, -0.8125, -0.59375, -1.5078125, -0.7890625, -1.15625, -1.21875, -1.203125]"
"Normal memory seems to be improved by (A) Aerobic exercise (B) Taking acetylcholine (C) Taking gingko and (D) Increasing social contacts. Of the answer choices above, answer (B) is the",best,0,human_aging,"[-1.59375, -1.90625, -1.09375, -1.0625, -1.609375, -1.765625, -0.6171875, -0.859375, -1.59375, -1.671875, -1.375, -0.703125, -0.828125, -1.234375, -0.9375, -0.96875, -1.8984375, -2.34375, -1.578125, -1.9375, -1.1640625, -1.6484375, -0.53125, -1.5078125, -0.6953125, -1.171875, -1.125, -1.265625, -1.484375, -1.15625, -1.8828125, -1.6015625, -1.359375, -2.3984375, -1.609375, -1.1015625, -0.59375, -1.7578125, -1.6875, -2.2734375, -1.8671875, -1.671875, -2.15625, -1.1875, -1.9609375, -1.8515625, -1.4296875, -1.640625, -1.8359375, -1.703125]"
"Normal memory seems to be improved by (A) Aerobic exercise (B) Taking acetylcholine (C) Taking gingko and (D) Increasing social contacts. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-1.25, -1.1015625, -1.2109375, -1.171875, -1.328125, -2.3359375, -1.015625, -1.515625, -1.6328125, -1.140625, -1.53125, -1.125, -1.0546875, -1.640625, -1.8125, -0.8359375, -1.765625, -1.734375, -2.2890625, -0.6875, -1.609375, -1.609375, -1.3828125, -0.5625, -1.4921875, -0.6953125, -1.7109375, -1.828125, -0.84375, -1.703125, -1.8984375, -1.875, -1.1875, -1.75, -1.140625, -2.2109375, -1.8828125, -2.84375, -1.7890625, -1.078125, -1.8984375, -0.921875, -0.78125, -1.3984375, -2.0625, -2.03125, -2.015625, -1.203125, -1.7109375, -1.0859375]"
"Normal memory seems to be improved by (A) Aerobic exercise (B) Taking acetylcholine (C) Taking gingko and (D) Increasing social contacts. Of the answer choices above, answer (D) is the",best,0,human_aging,"[-1.21875, -1.71875, -1.5703125, -1.2109375, -1.5703125, -1.3828125, -1.9765625, -1.3515625, -1.265625, -1.3984375, -0.9453125, -2.078125, -2.3515625, -1.1875, -1.3671875, -1.3515625, -1.5234375, -0.7421875, -1.2421875, -2.5234375, -0.9765625, -2.1640625, -1.5234375, -0.796875, -1.015625, -1.2578125, -1.3125, -1.4921875, -1.0, -1.4609375, -1.0625, -2.28125, -1.171875, -0.625, -2.203125, -1.4765625, -2.5546875, -1.59375, -1.125, -0.390625, -1.9921875, -0.5, -2.3125, -1.0625, -1.8046875, -0.59375, -1.140625, -2.078125, -1.640625, -2.078125]"
"The perspective that development is embedded in history means that (A) Change can always occur regardless of age (B) Sociocultural conditions must always be considered (C) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive) and (D) Some characteristics change with age while others do not. Of the answer choices above, answer (A) is the",best,0,human_aging,"[-2.8125, -3.9921875, -2.53125, -3.078125, -2.2578125, -1.40625, -2.9921875, -2.734375, -1.6875, -2.953125, -3.296875, -2.0390625, -4.3984375, -2.9765625, -2.328125, -2.890625, -2.6328125, -2.09375, -1.984375, -2.296875, -2.390625, -2.9140625, -1.9921875, -1.5234375, -3.2578125, -2.9453125, -3.7265625, -3.7421875, -3.390625, -1.84375, -2.3984375, -3.4375, -1.4453125, -3.46875, -2.9765625, -2.6484375, -2.28125, -3.71875, -1.7734375, -2.078125, -1.46875, -2.234375, -2.390625, -1.9453125, -2.546875, -4.078125, -2.5546875, -2.4765625, -2.1015625, -2.6015625]"
"The perspective that development is embedded in history means that (A) Change can always occur regardless of age (B) Sociocultural conditions must always be considered (C) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive) and (D) Some characteristics change with age while others do not. Of the answer choices above, answer (B) is the",best,1,human_aging,"[-2.9296875, -3.1328125, -2.0703125, -3.015625, -2.9921875, -3.2109375, -1.8671875, -3.2421875, -3.3828125, -2.0390625, -1.7421875, -2.8515625, -2.1953125, -3.484375, -3.4296875, -2.9765625, -2.234375, -2.2421875, -2.75, -3.140625, -3.1796875, -2.359375, -2.578125, -2.6484375, -2.453125, -3.4375, -2.6953125, -2.2578125, -2.1953125, -4.25, -3.1015625, -2.8671875, -2.5859375, -3.4453125, -2.7578125, -2.546875, -2.3125, -3.2734375, -4.09375, -2.1640625, -3.515625, -2.8203125, -2.0546875, -1.9609375, -2.3125, -2.5, -0.9921875, -1.2578125, -1.296875, -4.1328125]"
"The perspective that development is embedded in history means that (A) Change can always occur regardless of age (B) Sociocultural conditions must always be considered (C) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive) and (D) Some characteristics change with age while others do not. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-2.375, -1.0859375, -1.4140625, -2.5078125, -2.6171875, -1.9921875, -2.734375, -3.765625, -2.3828125, -3.1875, -2.140625, -3.0, -2.7578125, -2.125, -2.6171875, -3.1171875, -2.265625, -2.09375, -2.609375, -3.4765625, -1.671875, -2.109375, -3.6875, -2.921875, -1.640625, -2.2265625, -2.21875, -1.9140625, -2.578125, -2.8125, -2.453125, -2.9453125, -2.359375, -2.8984375, -3.4765625, -2.3671875, -1.9375, -2.3515625, -2.640625, -1.8515625, -2.3359375, -2.9375, -2.34375, -3.34375, -1.890625, -2.0859375, -2.8671875, -3.6015625, -1.828125, -2.3828125]"
"The perspective that development is embedded in history means that (A) Change can always occur regardless of age (B) Sociocultural conditions must always be considered (C) Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive) and (D) Some characteristics change with age while others do not. Of the answer choices above, answer (D) is the",best,0,human_aging,"[-1.7890625, -3.1640625, -3.6484375, -1.7421875, -2.7421875, -1.6875, -1.7578125, -1.65625, -2.71875, -1.890625, -1.890625, -1.65625, -3.328125, -1.9921875, -3.9921875, -1.390625, -2.734375, -2.765625, -3.1171875, -1.796875, -3.25, -2.5859375, -2.7109375, -3.7265625, -3.0390625, -3.625, -2.3984375, -2.796875, -3.65625, -2.9296875, -2.625, -2.6640625, -2.703125, -1.796875, -2.515625, -2.2421875, -2.5234375, -3.6328125, -2.3046875, -2.5859375, -2.578125, -1.8125, -2.9375, -3.453125, -3.5625, -2.1328125, -1.9375, -1.6484375, -3.703125, -1.75]"
"The answer ""both play an important role"" is clearly applicable to the question of (A) Nature vs. nurture (B) Mechanistic vs organismic (C) Continuity vs. discontinuity and (D) All of these questions. Of the answer choices above, answer (A) is the",best,0,human_aging,"[-2.4453125, -3.5703125, -1.4375, -2.875, -1.96875, -1.59375, -0.90625, -1.46875, -1.484375, -2.1640625, -3.0078125, -2.28125, -2.5546875, -2.09375, -1.8984375, -3.4921875, -3.4296875, -2.0234375, -2.3828125, -1.6640625, -2.640625, -1.609375, -1.8203125, -2.03125, -1.5390625, -1.7421875, -4.109375, -1.7109375, -2.421875, -2.1328125, -2.0, -2.8515625, -2.5703125, -1.6953125, -1.953125, -1.984375, -1.03125, -3.484375, -2.3125, -1.84375, -1.59375, -2.9609375, -2.6328125, -2.7890625, -1.8359375, -3.265625, -1.9453125, -4.1328125, -1.9765625, -3.03125]"
"The answer ""both play an important role"" is clearly applicable to the question of (A) Nature vs. nurture (B) Mechanistic vs organismic (C) Continuity vs. discontinuity and (D) All of these questions. Of the answer choices above, answer (B) is the",best,0,human_aging,"[-2.3125, -2.265625, -3.046875, -1.9140625, -1.4921875, -2.5078125, -2.1953125, -3.09375, -2.2578125, -1.4921875, -1.5234375, -1.859375, -2.3984375, -2.2578125, -1.6953125, -2.21875, -1.6875, -2.6796875, -1.359375, -1.6875, -2.1953125, -2.546875, -3.2109375, -1.5390625, -1.53125, -1.8515625, -2.5390625, -3.8515625, -2.84375, -2.5390625, -3.1015625, -1.3359375, -2.984375, -2.2265625, -1.5390625, -0.8046875, -1.8203125, -1.8125, -1.9921875, -1.75, -2.921875, -2.140625, -3.828125, -1.7421875, -2.15625, -4.1015625, -1.8984375, -2.1484375, -3.1953125, -1.484375]"
"The answer ""both play an important role"" is clearly applicable to the question of (A) Nature vs. nurture (B) Mechanistic vs organismic (C) Continuity vs. discontinuity and (D) All of these questions. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-2.1484375, -3.109375, -2.2265625, -1.15625, -2.9375, -1.796875, -3.0546875, -2.1796875, -1.9765625, -2.640625, -3.1953125, -1.6796875, -3.21875, -0.734375, -1.34375, -1.2578125, -3.5078125, -1.6484375, -2.7109375, -2.3671875, -2.53125, -1.3828125, -1.4921875, -2.171875, -3.234375, -2.0234375, -1.2734375, -2.046875, -1.8046875, -4.0, -3.375, -1.140625, -2.4453125, -2.046875, -1.1875, -1.71875, -1.6796875, -1.9453125, -1.9296875, -1.9921875, -1.96875, -3.4296875, -2.203125, -3.484375, -2.453125, -1.96875, -3.125, -1.4921875, -2.3828125, -1.78125]"
"The answer ""both play an important role"" is clearly applicable to the question of (A) Nature vs. nurture (B) Mechanistic vs organismic (C) Continuity vs. discontinuity and (D) All of these questions. Of the answer choices above, answer (D) is the",best,1,human_aging,"[-2.6171875, -1.109375, -1.8125, -4.9765625, -3.875, -1.8515625, -2.6953125, -1.203125, -1.453125, -2.4453125, -2.5078125, -2.1171875, -2.2734375, -2.390625, -3.0234375, -1.8125, -1.5703125, -2.7890625, -1.6875, -1.8359375, -2.4296875, -2.46875, -1.3828125, -3.140625, -1.6484375, -2.109375, -2.6015625, -1.8515625, -2.6484375, -2.0625, -2.0625, -1.8125, -2.7421875, -2.1328125, -2.5078125, -1.3984375, -1.7734375, -1.4375, -2.46875, -2.375, -2.390625, -2.046875, -3.2734375, -3.4765625, -2.7734375, -3.046875, -2.0546875, -2.90625, -1.4921875, -3.0234375]"
"Which of the following does NOT usually occur to the lens of the eye as one grows older? (A) It becomes thicker (B) It yellows (C) It becomes clouded and (D) It fills with fluid. Of the answer choices above, answer (A) is the",best,0,human_aging,"[-1.9296875, -3.1171875, -2.734375, -2.40625, -2.765625, -3.2578125, -2.9453125, -4.109375, -3.15625, -2.65625, -3.2578125, -2.828125, -3.0078125, -3.8046875, -3.25, -5.0234375, -3.78125, -3.140625, -4.1953125, -2.8984375, -2.84375, -2.96875, -3.5234375, -2.8828125, -3.1171875, -6.0, -2.8671875, -4.1328125, -2.953125, -2.2578125, -2.484375, -3.5859375, -3.1484375, -1.875, -3.2578125, -3.1796875, -2.9375, -2.84375, -3.84375, -1.2421875, -3.015625, -3.0703125, -2.9921875, -2.9609375, -3.5078125, -3.3046875, -3.671875, -2.2265625, -5.828125, -2.6328125]"
"Which of the following does NOT usually occur to the lens of the eye as one grows older? (A) It becomes thicker (B) It yellows (C) It becomes clouded and (D) It fills with fluid. Of the answer choices above, answer (B) is the",best,0,human_aging,"[-3.5625, -3.3046875, -2.8671875, -4.21875, -2.234375, -2.8515625, -4.5703125, -2.8125, -2.25, -3.7578125, -3.234375, -2.484375, -4.4609375, -4.4921875, -2.9375, -3.59375, -2.453125, -2.328125, -3.375, -3.7109375, -1.984375, -3.8984375, -3.078125, -3.4453125, -3.078125, -4.8125, -2.59375, -3.4609375, -4.0078125, -3.3828125, -3.546875, -2.21875, -3.375, -2.84375, -2.71875, -4.34375, -4.0546875, -2.53125, -2.7734375, -3.6796875, -4.21875, -4.7734375, -3.9296875, -2.6796875, -2.8203125, -3.0078125, -3.1640625, -2.46875, -2.0390625, -4.578125]"
"Which of the following does NOT usually occur to the lens of the eye as one grows older? (A) It becomes thicker (B) It yellows (C) It becomes clouded and (D) It fills with fluid. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-2.4921875, -2.484375, -3.875, -4.0078125, -3.609375, -2.4765625, -3.8671875, -2.9765625, -3.96875, -3.046875, -2.8984375, -3.8515625, -2.53125, -1.4296875, -2.1171875, -3.0390625, -5.5859375, -1.6796875, -3.6484375, -2.421875, -2.671875, -4.8359375, -1.984375, -2.5859375, -3.7578125, -3.6171875, -2.6328125, -3.328125, -4.1171875, -3.359375, -3.25, -3.8359375, -2.5390625, -3.9609375, -3.59375, -3.1953125, -3.3359375, -1.609375, -3.6875, -4.15625, -3.7578125, -3.375, -4.078125, -3.1015625, -3.90625, -2.828125, -4.1171875, -4.28125, -2.734375, -2.7265625]"
"Which of the following does NOT usually occur to the lens of the eye as one grows older? (A) It becomes thicker (B) It yellows (C) It becomes clouded and (D) It fills with fluid. Of the answer choices above, answer (D) is the",best,1,human_aging,"[-4.6640625, -2.8515625, -4.234375, -2.2109375, -3.8984375, -4.375, -3.78125, -1.640625, -2.140625, -2.171875, -1.8046875, -2.671875, -3.25, -2.21875, -2.1796875, -1.765625, -1.328125, -3.15625, -2.1953125, -3.1484375, -2.140625, -5.1796875, -2.0703125, -2.796875, -2.8125, -3.53125, -3.296875, -4.25, -2.890625, -2.1640625, -3.5703125, -4.3671875, -3.171875, -2.4375, -3.078125, -3.59375, -2.46875, -1.84375, -3.5234375, -2.71875, -2.140625, -4.3125, -2.4765625, -4.1328125, -2.796875, -2.4765625, -5.9765625, -3.34375, -3.9296875, -2.8984375]"
"The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as (A) Technohouse (B) Compuhouse (C) Futurehouse and (D) Smarthouse. Of the answer choices above, answer (A) is the",best,0,human_aging,"[-2.5234375, -2.1171875, -2.7578125, -3.34375, -1.609375, -1.890625, -2.1171875, -2.4453125, -1.890625, -2.609375, -2.265625, -2.359375, -1.8359375, -3.3671875, -2.65625, -1.578125, -2.8125, -2.5546875, -2.625, -1.859375, -1.8515625, -2.2578125, -1.4375, -2.5234375, -3.0, -2.1328125, -1.453125, -2.2734375, -3.0078125, -2.0703125, -3.328125, -2.8984375, -2.6328125, -3.3984375, -1.6875, -1.34375, -1.96875, -1.765625, -3.0, -2.5078125, -1.6328125, -2.796875, -2.1484375, -2.65625, -2.96875, -1.6640625, -1.7890625, -3.2890625, -1.9375, -2.75]"
"The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as (A) Technohouse (B) Compuhouse (C) Futurehouse and (D) Smarthouse. Of the answer choices above, answer (B) is the",best,0,human_aging,"[-4.5859375, -3.5078125, -2.984375, -2.765625, -1.5234375, -2.5078125, -3.1796875, -2.25, -1.9921875, -3.359375, -2.4140625, -1.7109375, -3.6328125, -2.6015625, -2.2421875, -2.3671875, -2.234375, -1.9765625, -2.53125, -1.484375, -1.3515625, -2.1328125, -1.8828125, -3.78125, -2.7109375, -2.015625, -2.4296875, -3.359375, -2.390625, -3.7578125, -1.9140625, -2.46875, -2.3984375, -3.1640625, -2.0234375, -1.953125, -2.0, -1.3828125, -1.9921875, -1.484375, -1.8828125, -2.1796875, -2.265625, -2.8125, -2.703125, -2.46875, -3.21875, -1.46875, -2.234375, -4.1953125]"
"The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as (A) Technohouse (B) Compuhouse (C) Futurehouse and (D) Smarthouse. Of the answer choices above, answer (C) is the",best,0,human_aging,"[-3.140625, -1.53125, -1.84375, -1.2421875, -3.28125, -3.1796875, -1.5859375, -2.390625, -2.0703125, -3.3203125, -2.5625, -2.8359375, -1.3359375, -2.46875, -2.578125, -1.75, -1.453125, -1.7734375, -3.1328125, -1.953125, -1.8828125, -1.7109375, -2.1640625, -2.84375, -2.203125, -3.578125, -2.9921875, -1.7890625, -4.6328125, -1.96875, -2.84375, -2.03125, -4.9921875, -1.953125, -0.8203125, -2.0, -1.6171875, -3.25, -1.5703125, -1.59375, -1.8125, -3.0, -2.1953125, -2.9296875, -2.6640625, -2.1328125, -2.25, -2.0078125, -2.3515625, -3.2890625]"
"The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as (A) Technohouse (B) Compuhouse (C) Futurehouse and (D) Smarthouse. Of the answer choices above, answer (D) is the",best,1,human_aging,"[-1.3359375, -2.0, -1.3515625, -1.5078125, -2.5546875, -2.703125, -2.609375, -2.421875, -1.4453125, -2.171875, -2.5, -2.9921875, -1.3203125, -1.3046875, -1.84375, -2.625, -1.5859375, -2.03125, -3.1015625, -1.453125, -1.375, -2.9921875, -2.953125, -2.9453125, -2.1484375, -1.8671875, -3.671875, -2.0, -2.015625, -0.9609375, -1.7890625, -2.3984375, -1.8671875, -0.9453125, -2.5, -4.1484375, -2.59375, -2.125, -1.71875, -1.9609375, -2.390625, -2.6875, -3.4765625, -1.359375, -2.828125, -1.875, -1.796875, -2.2734375, -3.3125, -1.5546875]"
